,_id,full_name,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,LoanID,Transaction_ID,Date,Cluster,Segment
0,62b2f15c30306cae600f1fbb,Person 1,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,1,1,5-5-2023,0,Công nhân viên lâu năm
1,62b306cdc0ae9317470e7430,Person 2,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,2,2,5-5-2023,0,Công nhân viên lâu năm
2,62b307df42208f1fd2026224,Person 3,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,3,3,5-5-2023,0,Công nhân viên lâu năm
3,62bc1b9b7a3e3b50f70d8752,Person 4,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,4,4,5-5-2023,0,Công nhân viên lâu năm
4,62bc21848efe2f8bfd03d132,Person 5,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,5,5,5-5-2023,2,Nhà quản lý lâu năm
5,62bc21898efe2f8bfd03d137,Person 6,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,6,6,5-5-2023,3,Nhà quản lý trẻ
6,62bc218d8efe2f8bfd03d13a,Person 7,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,7,7,6-5-2023,2,Nhà quản lý lâu năm
7,62bc21908efe2f8bfd03d13d,Person 8,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,8,8,6-5-2023,1,Công nhân viên trẻ
8,62bc21938efe2f8bfd03d140,Person 9,37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,9,9,6-5-2023,0,Công nhân viên lâu năm
9,62bc21968efe2f8bfd03d143,Person 10,28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,10,10,6-5-2023,1,Công nhân viên trẻ
10,62bc21998efe2f8bfd03d146,Person 11,38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,11,11,7-5-2023,1,Công nhân viên trẻ
11,62bc219c8efe2f8bfd03d149,Person 12,30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown,12,12,7-5-2023,0,Công nhân viên lâu năm
12,62bc22f8deb0233d190aa314,Person 13,29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,13,13,7-5-2023,2,Nhà quản lý lâu năm
13,62bc22fcdeb0233d190aa317,Person 14,46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown,14,14,7-5-2023,3,Nhà quản lý trẻ
14,62bc22ffdeb0233d190aa31a,Person 15,31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown,15,15,8-5-2023,3,Nhà quản lý trẻ
15,62bc2302deb0233d190aa31d,Person 16,35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown,16,16,8-5-2023,3,Nhà quản lý trẻ
16,62bc2305deb0233d190aa320,Person 17,32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,0,unknown,17,17,8-5-2023,1,Công nhân viên trẻ
17,62bc2308deb0233d190aa323,Person 18,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,18,18,8-5-2023,0,Công nhân viên lâu năm
18,62bc230bdeb0233d190aa326,Person 19,41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown,19,19,8-5-2023,0,Công nhân viên lâu năm
19,62bc230edeb0233d190aa329,Person 20,49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown,20,20,8-5-2023,1,Công nhân viên trẻ
20,62bc2311deb0233d190aa32c,Person 21,28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,21,21,8-5-2023,1,Công nhân viên trẻ
21,62bc2ac83260fd60c40c8472,Person 22,43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,22,22,8-5-2023,3,Nhà quản lý trẻ
22,62bc2af23260fd60c40c847e,Person 23,43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,23,23,8-5-2023,3,Nhà quản lý trẻ
23,62bc2b003260fd60c40c8483,Person 24,43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,24,24,8-5-2023,0,Công nhân viên lâu năm
24,62bc2b203260fd60c40c848e,Person 25,37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,25,25,8-5-2023,1,Công nhân viên trẻ
25,62bc2d2948f714023d0c54f2,Person 26,35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown,26,26,9-5-2023,1,Công nhân viên trẻ
26,62bc2d3348f714023d0c54f4,Person 27,31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,-1,0,unknown,27,27,9-5-2023,3,Nhà quản lý trẻ
27,62bc2d3748f714023d0c54f6,Person 28,43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown,28,28,9-5-2023,1,Công nhân viên trẻ
28,62bc2d3c48f714023d0c54f8,Person 29,31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown,29,29,9-5-2023,0,Công nhân viên lâu năm
29,62bc2d5348f714023d0c5500,Person 30,28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,-1,0,unknown,30,30,9-5-2023,1,Công nhân viên trẻ
30,62bc2d5a48f714023d0c5502,Person 31,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown,31,31,9-5-2023,0,Công nhân viên lâu năm
31,62bc2d6148f714023d0c5505,Person 32,60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,32,32,9-5-2023,0,Công nhân viên lâu năm
32,62bc2d6548f714023d0c5507,Person 33,26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,33,33,9-5-2023,1,Công nhân viên trẻ
33,62bc35712b18bc087006c3a2,Person 34,40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,34,34,9-5-2023,0,Công nhân viên lâu năm
34,62bc357a2b18bc087006c3a4,Person 35,33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown,35,35,9-5-2023,1,Công nhân viên trẻ
35,62bc35ac2b18bc087006c3b3,Person 36,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,36,36,12-5-2023,3,Nhà quản lý trẻ
36,62bc35b12b18bc087006c3b5,Person 37,35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,-1,0,unknown,37,37,13-5-2023,0,Công nhân viên lâu năm
37,62bc35b52b18bc087006c3b7,Person 38,33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown,38,38,13-5-2023,1,Công nhân viên trẻ
38,62bc35cc2b18bc087006c3be,Person 39,38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,39,39,13-5-2023,2,Nhà quản lý lâu năm
39,62bc35d02b18bc087006c3c0,Person 40,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,40,40,13-5-2023,1,Công nhân viên trẻ
40,62bc35f12b18bc087006c3cb,Person 41,60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown,41,41,13-5-2023,0,Công nhân viên lâu năm
41,62bc35f52b18bc087006c3cd,Person 42,48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,42,42,13-5-2023,2,Nhà quản lý lâu năm
42,62bc35f92b18bc087006c3cf,Person 43,45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,43,43,13-5-2023,3,Nhà quản lý trẻ
43,62bc35fd2b18bc087006c3d1,Person 44,36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,44,44,13-5-2023,0,Công nhân viên lâu năm
44,62bc36012b18bc087006c3d3,Person 45,52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,45,45,13-5-2023,2,Nhà quản lý lâu năm
45,62bc36092b18bc087006c3d6,Person 46,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,46,46,13-5-2023,1,Công nhân viên trẻ
46,62bc360d2b18bc087006c3d8,Person 47,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,47,47,13-5-2023,0,Công nhân viên lâu năm
47,62bc36112b18bc087006c3da,Person 48,52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,48,48,14-5-2023,0,Công nhân viên lâu năm
48,62bc36152b18bc087006c3dc,Person 49,53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,49,49,14-5-2023,1,Công nhân viên trẻ
49,62bc361c2b18bc087006c3df,Person 50,48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,50,50,14-5-2023,1,Công nhân viên trẻ
50,62bc3899b28115ab76089a62,Person 51,41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,1,-1,0,unknown,51,51,14-5-2023,1,Công nhân viên trẻ
51,62bc389eb28115ab76089a64,Person 52,39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,52,52,14-5-2023,3,Nhà quản lý trẻ
52,62bc38a2b28115ab76089a66,Person 53,59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown,53,53,14-5-2023,0,Công nhân viên lâu năm
53,62bc38a6b28115ab76089a68,Person 54,41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,54,54,14-5-2023,0,Công nhân viên lâu năm
54,62bc38aab28115ab76089a6a,Person 55,48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown,55,55,14-5-2023,0,Công nhân viên lâu năm
55,62bc38b656bcb11219003b73,Person 56,40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,56,56,14-5-2023,0,Công nhân viên lâu năm
56,62bc38bb56bcb11219003b75,Person 57,48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown,57,57,14-5-2023,0,Công nhân viên lâu năm
57,62bc38bf56bcb11219003b77,Person 58,60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,58,58,14-5-2023,0,Công nhân viên lâu năm
58,62bc38c356bcb11219003b79,Person 59,40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,59,59,14-5-2023,1,Công nhân viên trẻ
59,62bc38c756bcb11219003b7b,Person 60,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,60,60,14-5-2023,2,Nhà quản lý lâu năm
60,62bc38cb56bcb11219003b7d,Person 61,51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown,61,61,14-5-2023,0,Công nhân viên lâu năm
61,62bc38d056bcb11219003b7f,Person 62,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,62,62,14-5-2023,1,Công nhân viên trẻ
62,62bc38d456bcb11219003b81,Person 63,41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,-1,0,unknown,63,63,15-5-2023,0,Công nhân viên lâu năm
63,62bc38d856bcb11219003b83,Person 64,52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,64,64,15-5-2023,1,Công nhân viên trẻ
64,62bc38dc56bcb11219003b85,Person 65,59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,-1,0,unknown,65,65,15-5-2023,0,Công nhân viên lâu năm
65,62bc38e056bcb11219003b87,Person 66,44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,66,66,15-5-2023,0,Công nhân viên lâu năm
66,62bc38e556bcb11219003b89,Person 67,49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown,67,67,15-5-2023,0,Công nhân viên lâu năm
